id,date,motion:title,motion:result,code,number,counts:yes,counts:no,counts:abstain
2024-05-14-088,2024-05-14T10:36:07+00:00,hlasování o pokračování jednání do vyčerpání programu,pass,Z9/17,88,43,1,1
2024-05-14-087,2024-05-14T10:34:47+00:00,"106. Zapojení Fondu rezerv a rozvoje v souvislosti s navýšením účelového neinvestičního příspěvku Národnímu divadlu Brno, příspěvkové organizaci v roce 2024 – návrh rozpočtového opatření",pass,Z9/17,87,42,0,0
2024-05-14-086,2024-05-14T10:34:22+00:00,"106. Zapojení Fondu rezerv a rozvoje v souvislosti s navýšením účelového neinvestičního příspěvku Národnímu divadlu Brno, příspěvkové organizaci v roce 2024 – návrh rozpočtového opatření - hlasování o návrhu pí Flamikové",fail,Z9/17,86,9,1,19
2024-05-14-085,2024-05-14T10:25:39+00:00,105. Návrh Dodatku č. 1 ke Smlouvě o spolupráci při výstavbě veřejné infrastruktury „Bytový dům Sokolova“,pass,Z9/17,85,35,5,4
2024-05-14-084,2024-05-14T10:25:13+00:00,"104. Návrh dodatku č. 1 ke Smlouvě o spolupráci v rámci projektu ""Prodloužení tramvajové trati Bystrc –Kamechy"" se společností Dopravní podnik města Brna, a. s.",pass,Z9/17,84,44,0,0
2024-05-14-083,2024-05-14T10:24:43+00:00,103. Návrh Dodatku č. 1 ke Smlouvě o spolupráci při výstavbě veřejné infrastruktury „Nová Zvonařka s. r. o. - Polyfunkční městský projekt I. ETAPA – BLOK A“,pass,Z9/17,83,36,5,4
2024-05-14-082,2024-05-14T10:23:58+00:00,102. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury „DOPRAVNÍ A TECHNICKÁ INFRASTRUKTURA OS BOSONOHY MLATY“,pass,Z9/17,82,44,0,0
2024-05-14-081,2024-05-14T10:23:27+00:00,"101. Návrh odnětí svěřeného majetku města městské části Brno-jih, pozemku p. č. 223/5 k. ú. Přízřenice",pass,Z9/17,81,45,0,0
2024-05-14-080,2024-05-14T10:22:59+00:00,"100. Návrh svěření majetku města Brna městské části Brno – Řečkovice a Mokrá Hora, pozemku p. č. 65 k. ú. Mokrá Hora včetně stavby zvonice nezapsané v katastru nemovitostí",pass,Z9/17,80,44,0,0
2024-05-14-079,2024-05-14T10:22:32+00:00,"99. Návrh svěření majetku města Brna městské části Brno – Řečkovice a Mokrá Hora, pozemku p. č. 3225/1 k. ú. Řečkovice",pass,Z9/17,79,42,0,0
2024-05-14-078,2024-05-14T10:22:05+00:00,98. Návrh Smlouvy o budoucí smlouvě směnné pro stavbu „RK – Nové chodníky Hviezdoslavova“,pass,Z9/17,78,45,0,0
2024-05-14-077,2024-05-14T10:21:40+00:00,"97. Návrh směny pozemků a částí pozemků v k. ú. Štýřice, Bohunice, Trnitá se společností Shell Czech Republic a. s.",pass,Z9/17,77,38,0,5
2024-05-14-076,2024-05-14T10:21:10+00:00,"96. Návrh směny pozemků v k. ú. Komín, Bystrc, Horní Heršpice a částí pozemku v k. ú. Banín s Českou republikou – Povodím Moravy, s. p.",pass,Z9/17,76,45,0,0
2024-05-14-075,2024-05-14T10:20:43+00:00,95. Návrh směny částí pozemků v k. ú. Kohoutovice při ul. návrší Svobody,pass,Z9/17,75,41,0,5
2024-05-14-074,2024-05-14T10:20:16+00:00,Body č. 89-94,pass,Z9/17,74,44,0,0
2024-05-14-073,2024-05-14T10:19:32+00:00,Body č. 81-88,pass,Z9/17,73,46,0,0
2024-05-14-072,2024-05-14T10:18:53+00:00,80. Návrh na uznání vlastnického práva k části pozemku p. č. 1142/20 a části pozemku p. č. 1142/7 v k. ú. Bystrc,pass,Z9/17,72,45,0,0
2024-05-14-071,2024-05-14T10:18:25+00:00,"79. Nabídky odkupu zapsaných i nezapsaných staveb k rodinné rekreaci postavených v rozvojové lokalitě Moravanské lány na části pozemku p. č. 494 a p. č. 496/1 a na pozemku p. č. 493/2 a p. č. 497/2, k. ú. Dolní Heršpice",pass,Z9/17,71,45,0,0
2024-05-14-070,2024-05-14T10:17:53+00:00,"78. Návrh nabytí movitých věcí a nemovitých věcí v k. ú. Město Brno z vlastnictví České republiky – České pošty, s. p., návrh na zřízení služebnosti, návrh na zřízení zákazu zcizení a zatížení, návrh rozpočtového opatření",pass,Z9/17,70,42,1,0
2024-05-14-069,2024-05-14T10:12:22+00:00,Body č. 64-77,pass,Z9/17,69,45,0,0
2024-05-14-068,2024-05-14T10:11:51+00:00,63. Návrh nabytí spoluvlastnických podílů na pozemcích v k. ú. Lesná a k. ú. Obřany,pass,Z9/17,68,40,0,6
2024-05-14-067,2024-05-14T10:11:21+00:00,Body č. 60-62,pass,Z9/17,67,45,0,0
2024-05-14-066,2024-05-14T10:10:20+00:00,"59. Návrh prodeje částí pozemků p. č. 1137/1 a p. č. 1137/4, oba v k. ú. Zábrdovice",pass,Z9/17,66,45,0,0
2024-05-14-065,2024-05-14T10:09:52+00:00,"58. Žádost o vzdání se práva na část nájemného představující zvýšení nájemného o inflaci za rok 2023 za užívání nebytových prostor v budově Nádražní 10, k. ú. Město Brno",pass,Z9/17,65,45,0,0
2024-05-14-064,2024-05-14T10:09:22+00:00,57. Žádost o prominutí příslušenství dluhu za nájem bytu č. 12 v domě Zderadova 474/3 v Brně,pass,Z9/17,64,38,0,3
2024-05-14-063,2024-05-14T10:08:56+00:00,"56. Návrh na uzavření dohody o splátkách dluhu z nájmu bytu č. 11 v domě Francouzská 64, Brno",pass,Z9/17,63,40,0,4
2024-05-14-062,2024-05-14T10:07:19+00:00,"55. Návrh na úhradu náhrad nájemného za sociální byty a náhrady za mimořádnou opravu sociálního bytu městským částem, návrh rozpočtového opatření",pass,Z9/17,62,45,0,0
2024-05-14-061,2024-05-14T10:06:48+00:00,"54. Návrh na udělení výjimky ze Statutu bytu pro osamělé rodiče s dětmi, který je přílohou č. 3 Pravidel pronájmu bytů v domech v majetku statutárního města Brna, nájemkyni bytu pro osamělé rodiče s dětmi č. 15 v domě Vlhká 179/22, Brno",pass,Z9/17,61,44,0,0
2024-05-14-060,2024-05-14T10:05:23+00:00,53. Návrh změny Pravidel pronájmu bytů v domech v majetku statutárního města Brna a jejich Přílohy č. 1 Statut sociálního bytu a Přílohy č. 2 Statut startovacího bytu,pass,Z9/17,60,43,0,0
2024-05-14-059,2024-05-14T10:01:45+00:00,"52. Návrh vzorové dohody o narovnání s bezúplatným převodem spoluvlastnických podílů města na 39 bytových jednotkách v bytovém domě č.p. 957 v k. ú. Staré Brno, ul. Bezručova 19 v Brně, členům Bytového družstva Bezručova 19",pass,Z9/17,59,47,0,0
2024-05-14-058,2024-05-14T10:01:08+00:00,"50. Záměr prodeje volné vymezené bytové jednotky č. 593/18 v domě Osová 6, Brno",pass,Z9/17,58,40,0,5
2024-05-14-057,2024-05-14T10:00:40+00:00,"49. Projekt ""Výstavba MŠ Šámalova"" – změna parametrů posouzení projektu",pass,Z9/17,57,45,0,0
