id,person_id,organization_id,start_date,end_date,sources
hradec-kralove:membership:ales-dohnal:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:ales-dohnal,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:denis-doksansky:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:denis-doksansky,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:romana-durrerova:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:romana-durrerova,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:ilona-dvorakova:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:ilona-dvorakova,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:jan-fajfr:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:jan-fajfr,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:lukas-fiedler:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:lukas-fiedler,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:zdenek-fink:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:zdenek-fink,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:jiri-gelbic:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:jiri-gelbic,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:jan-groh:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:jan-groh,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
hradec-kralove:membership:miroslav-hlousek:hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,hradec-kralove:person:miroslav-hlousek,hradec-kralove:org:zastupitelstvo-mesta-hradec-kralove,2022-10-24,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/hk/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session — NOTE this feed's last recorded session is 2025-08-26, ~1 year stale as of the 2026-08-30 build; see sources.yml's known_staleness_gap.""}]"
